[2026-08-05T08:54:38.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:54:38.142+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:53:00+00:00 [queued]>
[2026-08-05T08:54:38.156+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:53:00+00:00 [queued]>
[2026-08-05T08:54:38.158+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:54:38.175+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-08-05 08:53:00+00:00
[2026-08-05T08:54:38.196+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-08-05T08:53:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpt9y6238w']
[2026-08-05T08:54:38.202+0000] {standard_task_runner.py:91} INFO - Job 33: Subtask download_minio
[2026-08-05T08:54:38.202+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=30071) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:54:38.205+0000] {standard_task_runner.py:64} INFO - Started process 30086 to run task
[2026-08-05T08:54:38.313+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:53:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:54:38.483+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:53:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:53:00+00:00'
