[2026-08-05T08:52:55.966+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:52:56.015+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-08-05T08:48:00+00:00 [queued]>
[2026-08-05T08:52:56.029+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-08-05T08:48:00+00:00 [queued]>
[2026-08-05T08:52:56.031+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:52:56.049+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-08-05 08:48:00+00:00
[2026-08-05T08:52:56.073+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'load_snowflake', 'scheduled__2026-08-05T08:48:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpxbq5kbq8']
[2026-08-05T08:52:56.079+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=29401) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:52:56.079+0000] {standard_task_runner.py:91} INFO - Job 32: Subtask load_snowflake
[2026-08-05T08:52:56.081+0000] {standard_task_runner.py:64} INFO - Started process 29412 to run task
[2026-08-05T08:52:56.194+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.load_snowflake scheduled__2026-08-05T08:48:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:52:56.382+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:48:00+00:00'
[2026-08-05T08:52:56.384+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-05T08:52:56.684+0000] {connection.py:638} INFO - Snowflake Connector for Python Version: 4.6.0, Python Version: 3.12.4, Platform: Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-08-05T08:52:56.686+0000] {connection.py:1760} INFO - Connecting to GLOBAL Snowflake domain
[2026-08-05T08:52:58.766+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401672966.parquet -> @customers stage
[2026-08-05T08:52:58.883+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401722071.parquet -> @customers stage
[2026-08-05T08:52:59.541+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401771134.parquet -> @customers stage
[2026-08-05T08:52:59.667+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401818881.parquet -> @customers stage
[2026-08-05T08:52:59.785+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401869659.parquet -> @customers stage
[2026-08-05T08:52:59.910+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401931845.parquet -> @customers stage
[2026-08-05T08:53:00.038+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090401994043.parquet -> @customers stage
[2026-08-05T08:53:00.173+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402069924.parquet -> @customers stage
[2026-08-05T08:53:00.286+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402133350.parquet -> @customers stage
[2026-08-05T08:53:00.412+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402184633.parquet -> @customers stage
[2026-08-05T08:53:00.557+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402234780.parquet -> @customers stage
[2026-08-05T08:53:00.746+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402284973.parquet -> @customers stage
[2026-08-05T08:53:00.874+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402342610.parquet -> @customers stage
[2026-08-05T08:53:01.055+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402385711.parquet -> @customers stage
[2026-08-05T08:53:01.172+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402449594.parquet -> @customers stage
[2026-08-05T08:53:01.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402513017.parquet -> @customers stage
[2026-08-05T08:53:01.451+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402644591.parquet -> @customers stage
[2026-08-05T08:53:02.066+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402707127.parquet -> @customers stage
[2026-08-05T08:53:02.151+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402799962.parquet -> @customers stage
[2026-08-05T08:53:02.532+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402929400.parquet -> @customers stage
[2026-08-05T08:53:02.657+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090402974349.parquet -> @customers stage
[2026-08-05T08:53:02.860+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403023880.parquet -> @customers stage
[2026-08-05T08:53:03.076+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403076220.parquet -> @customers stage
[2026-08-05T08:53:03.216+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403139454.parquet -> @customers stage
[2026-08-05T08:53:03.351+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403183405.parquet -> @customers stage
[2026-08-05T08:53:03.557+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403246298.parquet -> @customers stage
[2026-08-05T08:53:03.729+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403286232.parquet -> @customers stage
[2026-08-05T08:53:03.881+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403337856.parquet -> @customers stage
[2026-08-05T08:53:04.012+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403384511.parquet -> @customers stage
[2026-08-05T08:53:04.316+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403430840.parquet -> @customers stage
[2026-08-05T08:53:04.449+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403472396.parquet -> @customers stage
[2026-08-05T08:53:04.690+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403524071.parquet -> @customers stage
[2026-08-05T08:53:04.825+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403571705.parquet -> @customers stage
[2026-08-05T08:53:05.022+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403614708.parquet -> @customers stage
[2026-08-05T08:53:05.150+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403654848.parquet -> @customers stage
[2026-08-05T08:53:05.328+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403702724.parquet -> @customers stage
[2026-08-05T08:53:05.465+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403763292.parquet -> @customers stage
[2026-08-05T08:53:05.595+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403806078.parquet -> @customers stage
[2026-08-05T08:53:05.732+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403851544.parquet -> @customers stage
[2026-08-05T08:53:05.854+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403894193.parquet -> @customers stage
[2026-08-05T08:53:05.977+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403939509.parquet -> @customers stage
[2026-08-05T08:53:06.135+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_090403987646.parquet -> @customers stage
