[2026-08-05T08:31:40.283+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:31:41.568+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403076220.parquet -> /tmp/minio_downloads/customers_090403076220.parquet
[2026-08-05T08:31:41.583+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403139454.parquet -> /tmp/minio_downloads/customers_090403139454.parquet
[2026-08-05T08:31:41.597+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403183405.parquet -> /tmp/minio_downloads/customers_090403183405.parquet
[2026-08-05T08:31:41.611+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403246298.parquet -> /tmp/minio_downloads/customers_090403246298.parquet
[2026-08-05T08:31:41.624+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403286232.parquet -> /tmp/minio_downloads/customers_090403286232.parquet
[2026-08-05T08:31:41.638+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403337856.parquet -> /tmp/minio_downloads/customers_090403337856.parquet
[2026-08-05T08:31:41.652+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403384511.parquet -> /tmp/minio_downloads/customers_090403384511.parquet
[2026-08-05T08:31:41.667+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403430840.parquet -> /tmp/minio_downloads/customers_090403430840.parquet
[2026-08-05T08:31:41.681+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403472396.parquet -> /tmp/minio_downloads/customers_090403472396.parquet
[2026-08-05T08:31:41.695+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403524071.parquet -> /tmp/minio_downloads/customers_090403524071.parquet
[2026-08-05T08:31:41.710+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403571705.parquet -> /tmp/minio_downloads/customers_090403571705.parquet
[2026-08-05T08:31:41.725+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403614708.parquet -> /tmp/minio_downloads/customers_090403614708.parquet
[2026-08-05T08:31:41.809+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403654848.parquet -> /tmp/minio_downloads/customers_090403654848.parquet
[2026-08-05T08:31:41.825+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403702724.parquet -> /tmp/minio_downloads/customers_090403702724.parquet
[2026-08-05T08:31:41.855+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403763292.parquet -> /tmp/minio_downloads/customers_090403763292.parquet
[2026-08-05T08:31:41.871+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403806078.parquet -> /tmp/minio_downloads/customers_090403806078.parquet
[2026-08-05T08:31:41.889+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403851544.parquet -> /tmp/minio_downloads/customers_090403851544.parquet
