[2026-08-05T08:18:40.410+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:18:44.216+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:16:00+00:00 [queued]>
[2026-08-05T08:18:44.223+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:16:00+00:00 [queued]>
[2026-08-05T08:18:44.224+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:18:44.436+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-08-05 08:16:00+00:00
[2026-08-05T08:18:44.452+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1874) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:18:44.450+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-08-05T08:16:00+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpllw_yg8y']
[2026-08-05T08:18:44.454+0000] {standard_task_runner.py:64} INFO - Started process 1888 to run task
[2026-08-05T08:18:44.455+0000] {standard_task_runner.py:91} INFO - Job 5: Subtask download_minio
[2026-08-05T08:18:47.834+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:16:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:18:50.883+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:16:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:16:00+00:00'
[2026-08-05T08:18:50.982+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-05T08:18:55.846+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401672966.parquet -> /tmp/minio_downloads/customers_090401672966.parquet
[2026-08-05T08:18:55.864+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401722071.parquet -> /tmp/minio_downloads/customers_090401722071.parquet
[2026-08-05T08:18:55.880+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401771134.parquet -> /tmp/minio_downloads/customers_090401771134.parquet
[2026-08-05T08:18:55.896+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401818881.parquet -> /tmp/minio_downloads/customers_090401818881.parquet
[2026-08-05T08:18:55.919+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401869659.parquet -> /tmp/minio_downloads/customers_090401869659.parquet
[2026-08-05T08:18:55.944+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401931845.parquet -> /tmp/minio_downloads/customers_090401931845.parquet
[2026-08-05T08:18:55.961+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401994043.parquet -> /tmp/minio_downloads/customers_090401994043.parquet
[2026-08-05T08:18:55.977+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402069924.parquet -> /tmp/minio_downloads/customers_090402069924.parquet
[2026-08-05T08:18:55.995+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402133350.parquet -> /tmp/minio_downloads/customers_090402133350.parquet
[2026-08-05T08:18:56.011+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402184633.parquet -> /tmp/minio_downloads/customers_090402184633.parquet
[2026-08-05T08:18:56.027+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402234780.parquet -> /tmp/minio_downloads/customers_090402234780.parquet
[2026-08-05T08:18:56.045+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402284973.parquet -> /tmp/minio_downloads/customers_090402284973.parquet
[2026-08-05T08:18:56.064+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402342610.parquet -> /tmp/minio_downloads/customers_090402342610.parquet
[2026-08-05T08:18:56.081+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402385711.parquet -> /tmp/minio_downloads/customers_090402385711.parquet
[2026-08-05T08:18:56.098+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402449594.parquet -> /tmp/minio_downloads/customers_090402449594.parquet
[2026-08-05T08:18:56.114+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402513017.parquet -> /tmp/minio_downloads/customers_090402513017.parquet
[2026-08-05T08:18:56.130+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402644591.parquet -> /tmp/minio_downloads/customers_090402644591.parquet
[2026-08-05T08:18:56.147+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402707127.parquet -> /tmp/minio_downloads/customers_090402707127.parquet
[2026-08-05T08:18:56.166+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402799962.parquet -> /tmp/minio_downloads/customers_090402799962.parquet
[2026-08-05T08:18:56.182+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402929400.parquet -> /tmp/minio_downloads/customers_090402929400.parquet
[2026-08-05T08:18:56.201+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402974349.parquet -> /tmp/minio_downloads/customers_090402974349.parquet
[2026-08-05T08:18:56.218+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403023880.parquet -> /tmp/minio_downloads/customers_090403023880.parquet
[2026-08-05T08:18:56.236+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403076220.parquet -> /tmp/minio_downloads/customers_090403076220.parquet
[2026-08-05T08:18:56.252+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403139454.parquet -> /tmp/minio_downloads/customers_090403139454.parquet
[2026-08-05T08:18:56.268+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403183405.parquet -> /tmp/minio_downloads/customers_090403183405.parquet
