[2026-08-05T08:40:22.343+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:40:22.373+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:38:00+00:00 [queued]>
[2026-08-05T08:40:22.387+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:38:00+00:00 [queued]>
[2026-08-05T08:40:22.388+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:40:22.401+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-08-05 08:38:00+00:00
[2026-08-05T08:40:22.413+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-08-05T08:38:00+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpim6i6f4x']
[2026-08-05T08:40:22.417+0000] {standard_task_runner.py:91} INFO - Job 19: Subtask download_minio
[2026-08-05T08:40:22.417+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=16297) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:40:22.419+0000] {standard_task_runner.py:64} INFO - Started process 16308 to run task
[2026-08-05T08:40:22.481+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:38:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:40:22.617+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:38:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:38:00+00:00'
[2026-08-05T08:40:22.619+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-05T08:40:23.162+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401672966.parquet -> /tmp/minio_downloads/customers_090401672966.parquet
[2026-08-05T08:40:23.176+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401722071.parquet -> /tmp/minio_downloads/customers_090401722071.parquet
[2026-08-05T08:40:23.190+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401771134.parquet -> /tmp/minio_downloads/customers_090401771134.parquet
[2026-08-05T08:40:23.204+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401818881.parquet -> /tmp/minio_downloads/customers_090401818881.parquet
[2026-08-05T08:40:23.218+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401869659.parquet -> /tmp/minio_downloads/customers_090401869659.parquet
[2026-08-05T08:40:23.231+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401931845.parquet -> /tmp/minio_downloads/customers_090401931845.parquet
[2026-08-05T08:40:23.244+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401994043.parquet -> /tmp/minio_downloads/customers_090401994043.parquet
[2026-08-05T08:40:23.258+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402069924.parquet -> /tmp/minio_downloads/customers_090402069924.parquet
[2026-08-05T08:40:23.272+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402133350.parquet -> /tmp/minio_downloads/customers_090402133350.parquet
[2026-08-05T08:40:23.286+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402184633.parquet -> /tmp/minio_downloads/customers_090402184633.parquet
