[2026-08-05T08:28:59.852+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:28:59.883+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:27:00+00:00 [queued]>
[2026-08-05T08:28:59.891+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:27:00+00:00 [queued]>
[2026-08-05T08:28:59.892+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:28:59.904+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-08-05 08:27:00+00:00
[2026-08-05T08:28:59.953+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-08-05T08:27:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmplkp_5vvp']
[2026-08-05T08:28:59.972+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask download_minio
[2026-08-05T08:28:59.974+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=6462) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:28:59.975+0000] {standard_task_runner.py:64} INFO - Started process 6473 to run task
[2026-08-05T08:29:00.084+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:27:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:29:00.226+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:27:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:27:00+00:00'
[2026-08-05T08:29:00.228+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-05T08:29:02.120+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401672966.parquet -> /tmp/minio_downloads/customers_090401672966.parquet
[2026-08-05T08:29:02.135+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401722071.parquet -> /tmp/minio_downloads/customers_090401722071.parquet
[2026-08-05T08:29:02.149+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401771134.parquet -> /tmp/minio_downloads/customers_090401771134.parquet
[2026-08-05T08:29:02.176+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401818881.parquet -> /tmp/minio_downloads/customers_090401818881.parquet
[2026-08-05T08:29:02.190+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401869659.parquet -> /tmp/minio_downloads/customers_090401869659.parquet
[2026-08-05T08:29:02.205+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401931845.parquet -> /tmp/minio_downloads/customers_090401931845.parquet
[2026-08-05T08:29:02.218+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401994043.parquet -> /tmp/minio_downloads/customers_090401994043.parquet
[2026-08-05T08:29:02.233+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402069924.parquet -> /tmp/minio_downloads/customers_090402069924.parquet
[2026-08-05T08:29:02.247+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402133350.parquet -> /tmp/minio_downloads/customers_090402133350.parquet
[2026-08-05T08:29:02.262+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402184633.parquet -> /tmp/minio_downloads/customers_090402184633.parquet
[2026-08-05T08:29:02.277+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402234780.parquet -> /tmp/minio_downloads/customers_090402234780.parquet
[2026-08-05T08:29:02.292+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402284973.parquet -> /tmp/minio_downloads/customers_090402284973.parquet
[2026-08-05T08:29:02.369+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402342610.parquet -> /tmp/minio_downloads/customers_090402342610.parquet
[2026-08-05T08:29:02.404+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402385711.parquet -> /tmp/minio_downloads/customers_090402385711.parquet
[2026-08-05T08:29:02.419+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402449594.parquet -> /tmp/minio_downloads/customers_090402449594.parquet
[2026-08-05T08:29:02.434+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402513017.parquet -> /tmp/minio_downloads/customers_090402513017.parquet
[2026-08-05T08:29:02.448+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402644591.parquet -> /tmp/minio_downloads/customers_090402644591.parquet
[2026-08-05T08:29:02.462+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402707127.parquet -> /tmp/minio_downloads/customers_090402707127.parquet
[2026-08-05T08:29:02.491+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402799962.parquet -> /tmp/minio_downloads/customers_090402799962.parquet
[2026-08-05T08:29:02.507+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402929400.parquet -> /tmp/minio_downloads/customers_090402929400.parquet
[2026-08-05T08:29:02.522+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402974349.parquet -> /tmp/minio_downloads/customers_090402974349.parquet
[2026-08-05T08:29:02.537+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403023880.parquet -> /tmp/minio_downloads/customers_090403023880.parquet
[2026-08-05T08:29:02.552+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403076220.parquet -> /tmp/minio_downloads/customers_090403076220.parquet
[2026-08-05T08:29:02.566+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403139454.parquet -> /tmp/minio_downloads/customers_090403139454.parquet
[2026-08-05T08:29:02.579+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403183405.parquet -> /tmp/minio_downloads/customers_090403183405.parquet
[2026-08-05T08:29:02.630+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403246298.parquet -> /tmp/minio_downloads/customers_090403246298.parquet
[2026-08-05T08:29:02.645+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403286232.parquet -> /tmp/minio_downloads/customers_090403286232.parquet
[2026-08-05T08:29:02.660+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403337856.parquet -> /tmp/minio_downloads/customers_090403337856.parquet
[2026-08-05T08:29:02.673+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403384511.parquet -> /tmp/minio_downloads/customers_090403384511.parquet
[2026-08-05T08:29:02.687+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403430840.parquet -> /tmp/minio_downloads/customers_090403430840.parquet
[2026-08-05T08:29:02.701+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403472396.parquet -> /tmp/minio_downloads/customers_090403472396.parquet
[2026-08-05T08:29:02.717+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403524071.parquet -> /tmp/minio_downloads/customers_090403524071.parquet
[2026-08-05T08:29:02.732+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403571705.parquet -> /tmp/minio_downloads/customers_090403571705.parquet
[2026-08-05T08:29:02.747+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403614708.parquet -> /tmp/minio_downloads/customers_090403614708.parquet
[2026-08-05T08:29:02.761+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403654848.parquet -> /tmp/minio_downloads/customers_090403654848.parquet
